image_id,split,image_path,lcd_screen_value
P_to_N__WhatsApp_Image_2025-07-09_at_10_51_28_AM_1_jpeg_1c0f5bda,train,images/train/P_to_N__WhatsApp_Image_2025-07-09_at_10_51_28_AM_1_jpeg_1c0f5bda.jpeg,230
earthing_values__WhatsApp_Image_2025-07-09_at_12_01_16_PM_1_jpeg_cd22f1f6,train,images/train/earthing_values__WhatsApp_Image_2025-07-09_at_12_01_16_PM_1_jpeg_cd22f1f6.jpeg,002
earthing_values__WhatsApp_Image_2025-07-09_at_12_01_20_PM_jpeg_7b819da2,train,images/train/earthing_values__WhatsApp_Image_2025-07-09_at_12_01_20_PM_jpeg_7b819da2.jpeg,001
N_to_E__WhatsApp_Image_2025-07-09_at_10_38_43_AM_1_jpeg_c756173b,train,images/train/N_to_E__WhatsApp_Image_2025-07-09_at_10_38_43_AM_1_jpeg_c756173b.jpeg,002
N_to_E__WhatsApp_Image_2025-07-09_at_10_38_44_AM_1_jpeg_4aba9e0d,train,images/train/N_to_E__WhatsApp_Image_2025-07-09_at_10_38_44_AM_1_jpeg_4aba9e0d.jpeg,002
earthing_values__WhatsApp_Image_2025-07-11_at_8_18_08_PM_3_jpeg_b32201bd,train,images/train/earthing_values__WhatsApp_Image_2025-07-11_at_8_18_08_PM_3_jpeg_b32201bd.jpeg,005
P_to_E__P_to_E_2_jpeg_5576d276,train,images/train/P_to_E__P_to_E_2_jpeg_5576d276.jpeg,243
earthing_values__WhatsApp_Image_2025-07-11_at_8_18_09_PM_1_jpeg_9f7566b6,train,images/train/earthing_values__WhatsApp_Image_2025-07-11_at_8_18_09_PM_1_jpeg_9f7566b6.jpeg,004
earthing_values__WhatsApp_Image_2025-07-09_at_12_01_17_PM_1_jpeg_0e3b551b,train,images/train/earthing_values__WhatsApp_Image_2025-07-09_at_12_01_17_PM_1_jpeg_0e3b551b.jpeg,2.6
earthing_values__WhatsApp_Image_2025-07-09_at_12_01_17_PM_2_jpeg_5b847b8a,train,images/train/earthing_values__WhatsApp_Image_2025-07-09_at_12_01_17_PM_2_jpeg_5b847b8a.jpeg,004
P_to_E__WhatsApp_Image_2025-07-09_at_10_45_01_AM_1_jpeg_73827a29,train,images/train/P_to_E__WhatsApp_Image_2025-07-09_at_10_45_01_AM_1_jpeg_73827a29.jpeg,237
P_to_N__WhatsApp_Image_2025-07-09_at_10_51_31_AM_1_jpeg_fbbc54d9,train,images/train/P_to_N__WhatsApp_Image_2025-07-09_at_10_51_31_AM_1_jpeg_fbbc54d9.jpeg,233
earthing_values__WhatsApp_Image_2025-07-09_at_12_01_18_PM_jpeg_e0c76595,train,images/train/earthing_values__WhatsApp_Image_2025-07-09_at_12_01_18_PM_jpeg_e0c76595.jpeg,002
P_to_E__WhatsApp_Image_2025-07-09_at_10_45_01_AM_jpeg_28d87a39,train,images/train/P_to_E__WhatsApp_Image_2025-07-09_at_10_45_01_AM_jpeg_28d87a39.jpeg,224
earthing_values__WhatsApp_Image_2025-07-11_at_8_18_08_PM_2_jpeg_a2baf8e6,train,images/train/earthing_values__WhatsApp_Image_2025-07-11_at_8_18_08_PM_2_jpeg_a2baf8e6.jpeg,005
P_to_N__WhatsApp_Image_2025-07-09_at_10_51_30_AM_jpeg_84df980d,train,images/train/P_to_N__WhatsApp_Image_2025-07-09_at_10_51_30_AM_jpeg_84df980d.jpeg,231
N_to_E__WhatsApp_Image_2025-07-09_at_10_38_44_AM_jpeg_1b122e06,train,images/train/N_to_E__WhatsApp_Image_2025-07-09_at_10_38_44_AM_jpeg_1b122e06.jpeg,001
earthing_values__WhatsApp_Image_2025-07-09_at_12_01_19_PM_1_jpeg_9035b12e,train,images/train/earthing_values__WhatsApp_Image_2025-07-09_at_12_01_19_PM_1_jpeg_9035b12e.jpeg,002
P_to_E__WhatsApp_Image_2025-07-09_at_10_45_01_AM_2_jpeg_2f257517,train,images/train/P_to_E__WhatsApp_Image_2025-07-09_at_10_45_01_AM_2_jpeg_2f257517.jpeg,248
P_to_E__P_to_E_jpeg_fcd6a81f,train,images/train/P_to_E__P_to_E_jpeg_fcd6a81f.jpeg,246
earthing_values__earthing_value_jpeg_56694a02,train,images/train/earthing_values__earthing_value_jpeg_56694a02.jpeg,002
P_to_E__WhatsApp_Image_2025-07-09_at_10_45_00_AM_1_jpeg_c70bd5a4,train,images/train/P_to_E__WhatsApp_Image_2025-07-09_at_10_45_00_AM_1_jpeg_c70bd5a4.jpeg,214
P_to_E__WhatsApp_Image_2025-07-09_at_10_44_58_AM_jpeg_dfb08030,train,images/train/P_to_E__WhatsApp_Image_2025-07-09_at_10_44_58_AM_jpeg_dfb08030.jpeg,231
P_to_N__WhatsApp_Image_2025-07-09_at_10_51_31_AM_2_jpeg_25066bfe,train,images/train/P_to_N__WhatsApp_Image_2025-07-09_at_10_51_31_AM_2_jpeg_25066bfe.jpeg,234
N_to_E__WhatsApp_Image_2025-07-09_at_10_38_42_AM_jpeg_e5ca2589,train,images/train/N_to_E__WhatsApp_Image_2025-07-09_at_10_38_42_AM_jpeg_e5ca2589.jpeg,002
P_to_N__P_to_N_1_JPG_df88bb38,train,images/train/P_to_N__P_to_N_1_JPG_df88bb38.jpg,218
P_to_N__WhatsApp_Image_2025-07-09_at_10_51_31_AM_jpeg_3f545318,train,images/train/P_to_N__WhatsApp_Image_2025-07-09_at_10_51_31_AM_jpeg_3f545318.jpeg,227
P_to_E__WhatsApp_Image_2025-07-09_at_10_44_59_AM_2_jpeg_88e8e8eb,train,images/train/P_to_E__WhatsApp_Image_2025-07-09_at_10_44_59_AM_2_jpeg_88e8e8eb.jpeg,236
earthing_values__WhatsApp_Image_2025-07-11_at_8_18_09_PM_jpeg_35d6c3d3,train,images/train/earthing_values__WhatsApp_Image_2025-07-11_at_8_18_09_PM_jpeg_35d6c3d3.jpeg,004
P_to_N__WhatsApp_Image_2025-07-09_at_10_51_29_AM_2_jpeg_a19f32af,train,images/train/P_to_N__WhatsApp_Image_2025-07-09_at_10_51_29_AM_2_jpeg_a19f32af.jpeg,228
P_to_N__P_to_N_2_jpeg_735253ed,train,images/train/P_to_N__P_to_N_2_jpeg_735253ed.jpeg,246
N_to_E__N_to_E_jpeg_9fc8f166,train,images/train/N_to_E__N_to_E_jpeg_9fc8f166.jpeg,002
N_to_E__N_to_E_3_jpeg_2bbc0b15,train,images/train/N_to_E__N_to_E_3_jpeg_2bbc0b15.jpeg,002
P_to_N__WhatsApp_Image_2025-07-09_at_10_51_30_AM_2_jpeg_3c8b2e5a,train,images/train/P_to_N__WhatsApp_Image_2025-07-09_at_10_51_30_AM_2_jpeg_3c8b2e5a.jpeg,245
P_to_N__WhatsApp_Image_2025-07-09_at_10_51_33_AM_jpeg_36769088,train,images/train/P_to_N__WhatsApp_Image_2025-07-09_at_10_51_33_AM_jpeg_36769088.jpeg,193
earthing_values__WhatsApp_Image_2025-07-09_at_12_01_16_PM_jpeg_13167a35,train,images/train/earthing_values__WhatsApp_Image_2025-07-09_at_12_01_16_PM_jpeg_13167a35.jpeg,002
P_to_E__WhatsApp_Image_2025-07-09_at_10_44_59_AM_jpeg_4d3ae615,train,images/train/P_to_E__WhatsApp_Image_2025-07-09_at_10_44_59_AM_jpeg_4d3ae615.jpeg,227
earthing_values__WhatsApp_Image_2025-07-09_at_12_01_19_PM_2_jpeg_ab766bff,train,images/train/earthing_values__WhatsApp_Image_2025-07-09_at_12_01_19_PM_2_jpeg_ab766bff.jpeg,003
P_to_N__WhatsApp_Image_2025-07-09_at_10_51_28_AM_jpeg_1541e946,train,images/train/P_to_N__WhatsApp_Image_2025-07-09_at_10_51_28_AM_jpeg_1541e946.jpeg,229
earthing_values__WhatsApp_Image_2025-07-09_at_12_01_20_PM_1_jpeg_6613608f,train,images/train/earthing_values__WhatsApp_Image_2025-07-09_at_12_01_20_PM_1_jpeg_6613608f.jpeg,001
earthing_values__WhatsApp_Image_2025-07-11_at_8_18_06_PM_jpeg_4ca6c666,train,images/train/earthing_values__WhatsApp_Image_2025-07-11_at_8_18_06_PM_jpeg_4ca6c666.jpeg,002
N_to_E__N_to_E_1_JPG_432f3ef1,train,images/train/N_to_E__N_to_E_1_JPG_432f3ef1.jpg,001
N_to_E__WhatsApp_Image_2025-07-09_at_10_38_39_AM_1_jpeg_28890443,train,images/train/N_to_E__WhatsApp_Image_2025-07-09_at_10_38_39_AM_1_jpeg_28890443.jpeg,001
N_to_E__WhatsApp_Image_2025-07-09_at_10_38_42_AM_1_jpeg_ac3c1c95,train,images/train/N_to_E__WhatsApp_Image_2025-07-09_at_10_38_42_AM_1_jpeg_ac3c1c95.jpeg,001
earthing_values__WhatsApp_Image_2025-07-09_at_12_01_16_PM_2_jpeg_e88be474,train,images/train/earthing_values__WhatsApp_Image_2025-07-09_at_12_01_16_PM_2_jpeg_e88be474.jpeg,002
earthing_values__WhatsApp_Image_2025-07-09_at_12_01_20_PM_2_jpeg_339622e4,train,images/train/earthing_values__WhatsApp_Image_2025-07-09_at_12_01_20_PM_2_jpeg_339622e4.jpeg,001
P_to_N__WhatsApp_Image_2025-07-09_at_10_51_32_AM_jpeg_eebac694,train,images/train/P_to_N__WhatsApp_Image_2025-07-09_at_10_51_32_AM_jpeg_eebac694.jpeg,217
